,,VOUT4_TRANS_RATE,MTP Only,0x030,48,Protected,16,0xB800,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TON4_DLY,MTP Only,0x032,50,Protected,16,0x0000,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TON4_RISE,MTP Only,0x034,52,Protected,16,0x0000,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,VOUT4_MODE,MTP Only,0x036,54,Protected,16,0x0015,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bit 7,,ABS_REL
,,,,,,,,,,Bits 6:5,,DFORMAT
,,,,,,,,,,Bits 4:0,,EXPONT
,,TOFF4_DLY,MTP Only,0x038,56,Protected,16,0x0000,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,TOFF4_FALL,MTP Only,0x03A,58,Protected,16,0x0000,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,MFR_OP4_BEH,MTP Only,0x03C,60,Protected,16,0x0000,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:5,,SPARE
,,,,,,,,,,Bit 4,,PRBS
,,,,,,,,,,Bit 3,,SOFT
,,,,,,,,,,Bit 2,,GLOBAL
,,,,,,,,,,Bit 1,,LATCH
,,,,,,,,,,Bit 0,,FLOAT
,,,,,,,,,,Bits 15:0,,
,,VOUT4_OPERATION,MTP Only,0x03E,62,Protected,16,0x00C4,,POR,,Soft-trim in ps4_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bit 7,,PS_ON
,,,,,,,,,,Bit 6,,TO_MODE
,,,,,,,,,,Bits 5:4,,VSRC
,,,,,,,,,,Bits 3:2,,Marg_Flt
,,,,,,,,,,Bit 1,,Tran_Ctrl
,,,,,,,,,,Bit 0,,Reserved
,,VOUT1,MTP Only,0x040,64,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT1
,,VOUT1_MRGN_H,MTP Only,0x042,66,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT1_MRGN_H
,,VOUT1_MRGN_L,MTP Only,0x044,68,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT1_MRGN_L
,,PARITY_9_64,MTP Only,0x046,70,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,VOUT1_OV_FLT_LIM,MTP Only,0x048,72,Protected,16,0x10CD,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT1_OV_FLT_LIM
,,VOUT1_UV_FLT_LIM,MTP Only,0x04A,74,Protected,16,0x0400,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT1_UV_FLT_LIM
,,IOUT1_OC_FLT_LIM,MTP Only,0x04C,76,Protected,16,0xD886,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,PARITY_10_64,MTP Only,0x04E,78,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,IOUT1_UC_FLT_LIM,MTP Only,0x050,80,Protected,16,0xDFC0,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,VOUT1_PGOOD_ON,MTP Only,0x052,82,Protected,16,0x0533,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT1_PGOOD_ON
,,VOUT1_PGOOD_OFF,MTP Only,0x054,84,Protected,16,0x0466,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT1_PGOOD_OFF
,,PARITY_11_64,MTP Only,0x056,86,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,,MTP Only,0x058,88,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:0,,
,,VOUT2,MTP Only,0x05A,90,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT2
,,VOUT2_MRGN_H,MTP Only,0x05C,92,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT2_MRGN_H
,,PARITY_12_64,MTP Only,0x05E,94,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,VOUT2_MRGN_L,MTP Only,0x060,96,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT2_MRGN_L
,,VOUT2_OV_FLT_LIM,MTP Only,0x062,98,Protected,16,0x10CD,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT2_OV_FLT_LIM
,,VOUT2_UV_FLT_LIM,MTP Only,0x064,100,Protected,16,0x0400,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT2_UV_FLT_LIM
,,PARITY_13_64,MTP Only,0x066,102,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,IOUT2_OC_FLT_LIM,MTP Only,0x068,104,Protected,16,0xD886,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,IOUT2_UC_FLT_LIM,MTP Only,0x06A,106,Protected,16,0xDFC0,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,VOUT2_PGOOD_ON,MTP Only,0x06C,108,Protected,16,0x0533,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT2_PGOOD_ON
,,PARITY_14_64,MTP Only,0x06E,110,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,VOUT2_PGOOD_OFF,MTP Only,0x070,112,Protected,16,0x0466,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT2_PGOOD_OFF
,,,MTP Only,0x072,114,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:0,,
,,VOUT3,MTP Only,0x074,116,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT3
,,PARITY_15_64,MTP Only,0x076,118,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,VOUT3_MRGN_H,MTP Only,0x078,120,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT3_MRGN_H
,,VOUT3_MRGN_L,MTP Only,0x07A,122,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT3_MRGN_L
,,VOUT3_OV_FLT_LIM,MTP Only,0x07C,124,Protected,16,0x10CD,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT3_OV_FLT_LIM
