IMAGE_DATA4,,0x84,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA6
IMAGE_DATA5,,0x85,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA7
IMAGE_DATA6,,0x86,,,,0x00,,,
,,,,,,,Bit 7,,NO_RESET
,,,,,,,Bit 6,,
,,,,,,,Bits 5:4,,TM_I2C
,,,,,,,Bits 3:1,,
,,,,,,,Bit 0,,NO_INCR
IMAGE_DATA7,,0x87,,,,0x00,,,
,,,,,,,Bit 7,,SCANMODE
,,,,,,,Bits 6:0,,
TM_I2C,,0xC0,,,,0x00,,,
,,,,,,,Bit 0,,CLEAR_LF
TM_DFT,,0xC1,,,,0x00,,,
,,,,,,,Bits 6:0,,SELECT0
TM_LATCH_FAULT,,0xC2,,,,0x00,,,
,,,,,,,Bits 6:0,,SELECT1
TM_DIAG0,,0xC3,,,,0x00,,,
,,,,,,,Bits 5:3,,PMUX_D
,,,,,,,Bit 2,,
,,,,,,,Bits 1:0,,PMUX_A
TM_DIAG1,,0xC4,,,,0x00,,,
,,,,,,,Bits 7:0,,ADDR_A
TM_PMUX,,0xC5,,,,0x00,,,
,,,,,,,Bits 7:0,,ADDR_D
TM_ADDR_A,,0xC6,,,,0x00,,,
,,,,,,,Bit 7,,BSTA
,,,,,,,Bit 6,,BSTP
,,,,,,,Bit 5,,SWD
,,,,,,,Bit 4,,SWC
,,,,,,,Bit 3,,SWB
,,,,,,,Bit 2,,SWA
,,,,,,,Bit 1,,PHS
,,,,,,,Bit 0,,PLS
TM_ADDR_D,,0xC7,,,,0x00,,,
,,,,,,,Bit 7,,LMD
,,,,,,,Bit 6,,LMC
,,,,,,,Bit 5,,LMB
,,,,,,,Bit 4,,SS
,,,,,,,Bit 3,,SSPH
,,,,,,,Bit 2,,BSTD
,,,,,,,Bit 1,,BSTC
,,,,,,,Bit 0,,BSTB
TM_CP0,,0xC8,,,,0x00,,,
,,,,,,,Bits 7:3,,CS
,,,,,,,Bit 2,,UVTH
,,,,,,,Bit 1,,ENPD
,,,,,,,Bit 0,,CSALL
TM_CP1,,0xC9,,,,0x00,,,
,,,,,,,Bit 1,,PORB
,,,,,,,Bit 0,,REFBIAS
TM_CP2,,0xCA,,,,0x00,,,
,,,,,,,Bits 7:6,,OV_DISCHARGE
,,,,,,,Bits 5:4,,OV_RATIO1
,,,,,,,Bits 3:2,,OV_RATIO0
,,,,,,,Bits 1:0,,OV_BOOST_MODE
TM_REF,,0xCB,,,,0x00,,,
,,,,,,,Bits 7:6,,OV_EN_CP
,,,,,,,Bits 5:4,,OV_STATE2
,,,,,,,Bits 3:2,,OV_STATE1
,,,,,,,Bits 1:0,,OV_STATE0
TM_OVER0,,0xCC,,,,0x00,,,
,,,,,,,Bits 7:6,,OV_PGOOD_PD_N
,,,,,,,Bits 5:4,,OV_PGOOD_VALID
,,,,,,,Bits 3:2,,OV_PGATE_EN
,,,,,,,Bits 1:0,,OV_EN_DIGITAL
TM_OVER1,,0xCD,,,,0x00,,,
