CFG_PTIME4,RW,0x56,0,,3,,,,Regs,
,,,,,,,,Bits 2:0,,OFF
CFG_I2C,RW,0x57,30,,7,,,,Regs,
,,,,,,,,Bits 6:0,,CFG_I2C_ADDR
CFG_START,RW,0x58,2,,2,,,,Regs,
,,,,,,,,Bits 1:0,,DISABLE_STARTUP
PAGE,RW,0x59,0,,8,,,,Regs,
,,,,,,,,Bits 3:0,,PAGE_VALID
CFG_ETC,RW,0x5A,2,,8,,,,Regs,
,,,,,,,,Bit 1,,NO_CLK_GATE
,,,,,,,,Bit 0,,PX_LO_SEL
OTP_UNUSED0,RW,0x60,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,UNUSED0
IMAGE_ADDR,RW,0x7F,0,,8,,,,Regs,
,,,,,,,,Bits 5:3,,ADDR
,,,,,,,,Bits 2:0,,
IMAGE_DATA0,RO,0x80,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA0
IMAGE_DATA1,RO,0x81,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA1
IMAGE_DATA2,RO,0x82,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA2
IMAGE_DATA3,RO,0x83,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA3
IMAGE_DATA4,RO,0x84,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA4
IMAGE_DATA5,RO,0x85,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA5
IMAGE_DATA6,RO,0x86,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA6
IMAGE_DATA7,RO,0x87,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA7
TM_I2C,RW,0xC0,0,,8,,,,Regs,
,,,,,,,,Bit 7,,NO_RESET
,,,,,,,,Bit 6,,
,,,,,,,,Bits 5:4,,TM_I2C
,,,,,,,,Bits 3:1,,
,,,,,,,,Bit 0,,NO_INCR
TM_DFT,WO,0xC1,0,,8,,,,Regs,
,,,,,,,,Bit 7,,SCANMODE
,,,,,,,,Bits 6:0,,
TM_LATCH_FAULT,RW,0xC2,0,,1,,,,Regs,
,,,,,,,,Bit 0,,CLEAR_LF
TM_DIAG0,RW,0xC3,0,,8,,,,Regs,
,,,,,,,,Bits 6:0,,SELECT0
TM_DIAG1,RW,0xC4,0,,8,,,,Regs,
,,,,,,,,Bits 6:0,,SELECT1
TM_PMUX,RW,0xC5,0,,8,,,,Regs,
,,,,,,,,Bits 5:3,,PMUX_D
,,,,,,,,Bit 2,,
,,,,,,,,Bits 1:0,,PMUX_A
